model_name,chunk_size,delta,noise,ground_threshold,min_support_per_class,precision,recall,f1
deepseek-ai_DeepSeek-V3.1,50,0.02,0.08,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.08,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.09,1,3,0.46153846153846156,0.42857142857142855,0.4444444444444445
deepseek-ai_DeepSeek-V3.1,50,0.02,0.09,2,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.09,3,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.09,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.09,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.09,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.09,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.09,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.09,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.09,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.1,1,3,0.5,0.42857142857142855,0.4615384615384615
deepseek-ai_DeepSeek-V3.1,50,0.02,0.1,2,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.02,0.1,3,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.1,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.1,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.1,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.1,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.1,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.1,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.02,0.1,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.01,1,3,0.3157894736842105,0.8571428571428571,0.46153846153846156
deepseek-ai_DeepSeek-V3.1,50,0.03,0.01,2,3,0.6,0.6428571428571429,0.6206896551724138
deepseek-ai_DeepSeek-V3.1,50,0.03,0.01,3,3,0.7272727272727273,0.5714285714285714,0.64
deepseek-ai_DeepSeek-V3.1,50,0.03,0.01,4,3,1.0,0.35714285714285715,0.5263157894736842
deepseek-ai_DeepSeek-V3.1,50,0.03,0.01,5,3,1.0,0.21428571428571427,0.35294117647058826
deepseek-ai_DeepSeek-V3.1,50,0.03,0.01,6,3,1.0,0.21428571428571427,0.35294117647058826
deepseek-ai_DeepSeek-V3.1,50,0.03,0.01,7,3,1.0,0.14285714285714285,0.25
deepseek-ai_DeepSeek-V3.1,50,0.03,0.01,8,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.01,9,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.01,10,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.02,1,3,0.36363636363636365,0.8571428571428571,0.5106382978723404
deepseek-ai_DeepSeek-V3.1,50,0.03,0.02,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846153
deepseek-ai_DeepSeek-V3.1,50,0.03,0.02,3,3,0.8888888888888888,0.5714285714285714,0.6956521739130435
deepseek-ai_DeepSeek-V3.1,50,0.03,0.02,4,3,1.0,0.2857142857142857,0.4444444444444445
deepseek-ai_DeepSeek-V3.1,50,0.03,0.02,5,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.02,6,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.02,7,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.02,8,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.02,9,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.02,10,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.03,1,3,0.4444444444444444,0.8571428571428571,0.5853658536585367
deepseek-ai_DeepSeek-V3.1,50,0.03,0.03,2,3,0.875,0.5,0.6363636363636364
deepseek-ai_DeepSeek-V3.1,50,0.03,0.03,3,3,0.8,0.2857142857142857,0.4210526315789473
deepseek-ai_DeepSeek-V3.1,50,0.03,0.03,4,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.03,5,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.03,6,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.03,7,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.03,8,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.03,9,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.03,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.04,1,3,0.5555555555555556,0.7142857142857143,0.6250000000000001
deepseek-ai_DeepSeek-V3.1,50,0.03,0.04,2,3,0.8333333333333334,0.35714285714285715,0.5
deepseek-ai_DeepSeek-V3.1,50,0.03,0.04,3,3,0.75,0.21428571428571427,0.3333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.04,4,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.04,5,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.04,6,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.04,7,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.04,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.04,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.04,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.05,1,3,0.5333333333333333,0.5714285714285714,0.5517241379310344
deepseek-ai_DeepSeek-V3.1,50,0.03,0.05,2,3,0.6666666666666666,0.14285714285714285,0.23529411764705882
deepseek-ai_DeepSeek-V3.1,50,0.03,0.05,3,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.05,4,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.05,5,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.05,6,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.05,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.05,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.05,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.05,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.06,1,3,0.5714285714285714,0.5714285714285714,0.5714285714285714
deepseek-ai_DeepSeek-V3.1,50,0.03,0.06,2,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.06,3,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.06,4,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.06,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.06,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.06,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.06,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.06,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.06,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.07,1,3,0.7272727272727273,0.5714285714285714,0.64
deepseek-ai_DeepSeek-V3.1,50,0.03,0.07,2,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.03,0.07,3,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.07,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.07,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.07,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.07,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.07,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.07,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.07,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.08,1,3,0.7,0.5,0.5833333333333334
deepseek-ai_DeepSeek-V3.1,50,0.03,0.08,2,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.08,3,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.08,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.08,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.08,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.08,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.08,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.08,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.08,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.09,1,3,0.6666666666666666,0.2857142857142857,0.4
deepseek-ai_DeepSeek-V3.1,50,0.03,0.09,2,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.09,3,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.09,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.09,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.09,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.09,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.09,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.09,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.09,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.1,1,3,0.8,0.2857142857142857,0.4210526315789473
deepseek-ai_DeepSeek-V3.1,50,0.03,0.1,2,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.1,3,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.1,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.1,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.1,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.1,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.1,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.1,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.03,0.1,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.01,1,3,0.5,0.42857142857142855,0.4615384615384615
deepseek-ai_DeepSeek-V3.1,50,0.04,0.01,2,3,1.0,0.2857142857142857,0.4444444444444445
deepseek-ai_DeepSeek-V3.1,50,0.04,0.01,3,3,1.0,0.14285714285714285,0.25
deepseek-ai_DeepSeek-V3.1,50,0.04,0.01,4,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.04,0.01,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.01,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.01,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.01,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.01,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.01,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.02,1,3,0.6,0.42857142857142855,0.5
deepseek-ai_DeepSeek-V3.1,50,0.04,0.02,2,3,1.0,0.2857142857142857,0.4444444444444445
deepseek-ai_DeepSeek-V3.1,50,0.04,0.02,3,3,1.0,0.14285714285714285,0.25
deepseek-ai_DeepSeek-V3.1,50,0.04,0.02,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.02,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.02,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.02,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.02,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.02,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.02,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.03,1,3,0.5714285714285714,0.2857142857142857,0.38095238095238093
deepseek-ai_DeepSeek-V3.1,50,0.04,0.03,2,3,1.0,0.14285714285714285,0.25
deepseek-ai_DeepSeek-V3.1,50,0.04,0.03,3,3,1.0,0.14285714285714285,0.25
deepseek-ai_DeepSeek-V3.1,50,0.04,0.03,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.03,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.03,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.03,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.03,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.03,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.03,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.04,1,3,0.8,0.2857142857142857,0.4210526315789473
deepseek-ai_DeepSeek-V3.1,50,0.04,0.04,2,3,1.0,0.14285714285714285,0.25
deepseek-ai_DeepSeek-V3.1,50,0.04,0.04,3,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.04,0.04,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.04,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.04,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.04,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.04,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.04,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.04,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.05,1,3,0.75,0.21428571428571427,0.3333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.04,0.05,2,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.04,0.05,3,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.04,0.05,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.05,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.05,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.05,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.05,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.05,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.05,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.06,1,3,1.0,0.21428571428571427,0.35294117647058826
deepseek-ai_DeepSeek-V3.1,50,0.04,0.06,2,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.04,0.06,3,3,1.0,0.07142857142857142,0.13333333333333333
deepseek-ai_DeepSeek-V3.1,50,0.04,0.06,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.06,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.06,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.06,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.06,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.06,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.06,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.07,1,3,1.0,0.21428571428571427,0.35294117647058826
deepseek-ai_DeepSeek-V3.1,50,0.04,0.07,2,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.07,3,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.07,4,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.07,5,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.07,6,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.07,7,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.07,8,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.07,9,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.07,10,3,0.0,0.0,0.0
deepseek-ai_DeepSeek-V3.1,50,0.04,0.08,1,3,1.0,0.14285714285714285,0.25
deepseek-ai_DeepSeek-V3.1,50,0.04,0.08,2,3,0.0,0.0,0.0
